kenpom,sports_reference_url_value,cbs,conference,vsin,teamrank,sports_reference,home_location
Georgia Tech,georgia-tech,Ga. Tech,ACC,Georgia Tech,Georgia Tech,Georgia Tech,Hank McCamish Pavilion
Gonzaga,gonzaga,Gonzaga,WCC,Gonzaga,Gonzaga,Gonzaga,McCarthey Athletic Center
Grambling St.,grambling,Grambling St.,SWAC,Grambling ST,Grambling St,Grambling,Fredrick C. Hobdy Assembly Center
Grand Canyon,grand-canyon,Grand Canyon,MWC,Grand Canyon,Grand Canyon,Grand Canyon,Global Credit Union Arena
Green Bay,green-bay,Green Bay,Horz,UW-Green Bay,WI-Grn Bay,Green Bay,Resch Center
Hampton,hampton,Hampton,CAA,Hampton,Hampton,Hampton,Hampton Convocation Center
Hartford,hartford,Hartford,,Hartford,Hartford,,Chase Family Arena at Reich Family Pavilion
Harvard,harvard,Harvard,Ivy,Harvard,Harvard,Harvard,Lavietes Pavilion
Hawaii,hawaii,Hawaii,BW,Hawaii,Hawaii,Hawaii,Stan Sheriff Center
High Point,high-point,High Point,BSth,High Point,High Point,High Point,Nido & Mariana Qubein Arena and Conference Center
Hofstra,hofstra,Hofstra,CAA,Hofstra,Hofstra,Hofstra,Mack Sports Complex
Holy Cross,holy-cross,Holy Cross,PL,Holy Cross,Holy Cross,Holy Cross,Hart Center at the Luth Athletics Complex
Houston,houston,Houston,B12,Houston,Houston,Houston,Fertitta Center
Houston Christian,houston-baptist,Houston Chr.,Slnd,Houston Christian,Hsn Christian,Houston Christian,Sharp Gymnasium
Howard,howard,Howard,MEAC,Howard,Howard,Howard,Burr Gymnasium
Idaho,idaho,Idaho,BSky,Idaho,Idaho,Idaho,Idaho Central Credit Union Arena
Idaho St.,idaho-state,Idaho St.,BSky,Idaho ST,Idaho St,Idaho State,ICCU Dome
Illinois,illinois,Illinois,B10,Illinois,Illinois,Illinois,State Farm Center
Illinois Chicago,illinois-chicago,UIC,MVC,Illinois-Chicago,Illinois Chicago,Illinois-Chicago,Credit Union 1 Arena
Illinois St.,illinois-state,Illinois St.,MVC,Illinois ST,Illinois St,Illinois State,CEFCU Arena
Incarnate Word,incarnate-word,Incarnate Word,Slnd,Incarnate Word,Incarnate Word,Incarnate Word,McDermott Center
Indiana,indiana,Indiana,B10,Indiana,Indiana,Indiana,Simon Skjodt Assembly Hall
Indiana St.,indiana-state,Indiana St.,MVC,Indiana ST,Indiana St,Indiana State,Hulman Center
Iona,iona,Iona,MAAC,Iona,Iona,Iona,Hynes Athletic Center
Iowa,iowa,Iowa,B10,Iowa,Iowa,Iowa,Carver-Hawkeye Arena
Iowa St.,iowa-state,Iowa St.,B12,Iowa ST,Iowa St,Iowa State,James H. Hilton Coliseum
IU Indy,iupui,IUI,Horz,IUPUI,IU Indy,IU Indy,James T. Morris Arena
Jackson St.,jackson-state,Jackson St.,SWAC,Jackson ST,Jackson St,Jackson State,Williams Assembly Center
Jacksonville,jacksonville,Jacksonville,ASun,Jacksonville,Jacksonville,Jacksonville,Swisher Gymnasium
Jacksonville St.,jacksonville-state,Jax. State,CUSA,Jacksonville ST,Jacksonville St,Jacksonville State,Pete Mathews Coliseum
James Madison,james-madison,James Madison,SB,James Madison,James Mad,James Madison,Atlantic Union Bank Center
Kansas,kansas,Kansas,B12,Kansas,Kansas,Kansas,Allen Fieldhouse
Kansas City,missouri-kansas-city,Kansas City,Sum,UMKC,Kansas City,Kansas City,Swinney Recreation Center
Kansas St.,kansas-state,Kansas St.,B12,Kansas ST,Kansas St,Kansas State,Bramlage Coliseum
Kennesaw St.,kennesaw-state,Kennesaw St.,CUSA,Kennesaw ST,Kennesaw St,Kennesaw State,KSU Convocation Center
Kent St.,kent-state,Kent St.,MAC,Kent,Kent St,Kent State,Memorial Athletic and Convocation Center
Kentucky,kentucky,Kentucky,SEC,Kentucky,Kentucky,Kentucky,Memorial Coliseum
La Salle,la-salle,La Salle,A10,La Salle,La Salle,La Salle,John Glaser Arena
Lafayette,lafayette,Lafayette,PL,Lafayette,Lafayette,Lafayette,Kirby Sports Center
Lamar,lamar,Lamar,Slnd,Lamar,Lamar,Lamar,Neches Federal Credit Union Arena at the Montagne Center
Le Moyne,le-moyne,Le Moyne,NEC,Lemoyne,Le Moyne,Le Moyne,Le Moyne Events Center
Lehigh,lehigh,Lehigh,PL,Lehigh,Lehigh,Lehigh,Stabler Arena
Liberty,liberty,Liberty,CUSA,Liberty,Liberty,Liberty,Liberty Arena
Lindenwood,lindenwood,Lindenwood,OVC,Lindenwood,Lindenwood,Lindenwood,Robert F. Hyland Performance Arena
Lipscomb,lipscomb,Lipscomb,ASun,Lipscomb,Lipscomb,Lipscomb,Allen Arena
Little Rock,arkansas-little-rock,Little Rock,OVC,Ark-Little Rock,AR Lit Rock,Little Rock,Jack Stephens Center
LIU,long-island-university,LIU,NEC,Long Island,LIU,Long Island University,Steinberg Wellness Center
