Date,Teams,DK Open,DynW%,Location,Spread,SpreadOdds,SpreadProbability,PredictedScore,PointsScored,Total,TotalOdds,TotalProbability,MoneyLine,Luck,AdjEM,AdjO,AdjD,AdjT,SOS,AvgPF,AvgPA,TOV,Pace,Ts%,eFG%,MatchupUncertainty,MLConfidence,SU_Correct,Cover_Correct,OU_Correct
1/17/2024,West Virginia,720,11.19%,a,12.0,-109.0,40.10%,63.22,63,144.5,-110.0,62.26%,,-0.001,2.07,105.1,103,68.9,4.98,75.971,68.899,12.353,68.500,0.558,0.516,,,1.000,1.000,0.000
1/17/2024,Oklahoma,-1200,88.81%,h,-12.0,-110.0,59.90%,77.83,77,10.9,-110.0,37.74%,-900,0,19.43,114.4,95,68.0,0.7,67.656,65.503,12.531,70.763,0.558,0.527,,,,,
1/17/2024,Bradley,-118,51.67%,a,-2.0,-108.0,59.16%,69.93,70,133.5,-110.0,84.61%,,-0.012,9.64,109,99.4,67.2,0.72,70.657,60.988,11.114,68.482,0.549,0.530,,,1.000,0.000,1.000
1/17/2024,Southern Illinois,-102,48.33%,h,2.0,-112.0,40.84%,69.29,69,11.1,-110.0,15.39%,,0.003,6.26,109.7,103.4,64.3,-3.61,65.697,59.605,11.727,66.612,0.555,0.524,,,,,
1/17/2024,Drake,-320,82.94%,a,-8.0,-110.0,92.52%,74.58,77,139.5,-110.0,65.57%,,0.072,11.9,113.4,101.5,67.9,-0.83,74.771,62.127,9.829,68.818,0.569,0.537,,,1.000,1.000,0.000
1/17/2024,Illinois St.,225,17.06%,h,8.0,-109.0,7.48%,66.80,56,10.8,-110.0,34.43%,,0.029,-5.29,98,103.2,66.4,-1.96,66.469,68.348,13.750,68.647,0.547,0.505,,,,,
1/17/2024,Providence,-430,83.75%,a,-9.0,-110.0,95.75%,71.59,100,139.0,-110.0,58.27%,-490,-0.022,13.39,106.9,93.5,68.6,4.91,77.333,68.928,10.939,70.518,0.551,0.512,,,1.000,1.000,1.000
1/17/2024,DePaul,330,16.25%,h,9.0,-110.0,4.25%,60.85,62,11.2,-110.0,41.73%,,-0.034,-7.23,101.8,109.1,67.5,6.18,71.182,75.042,12.606,68.825,0.531,0.498,,,,,
1/17/2024,Maryland,136,34.07%,a,4.0,-109.0,49.53%,61.95,69,130.0,-110.0,71.58%,,-0.025,11.51,105.8,94.2,65.9,0.51,69.714,61.738,10.143,68.312,0.548,0.513,,,1.000,1.000,1.000
1/17/2024,Northwestern,-164,65.93%,h,-4.0,-110.0,50.47%,66.12,72,11.9,-110.0,28.42%,-198,0.082,13.37,113.1,99.8,64.3,3.13,67.735,60.987,9.029,65.906,0.514,0.474,,,,,
